# -1,All other cells (excluding year+winners_rank+winners_show) are JSON strings that must not contain commas NOR quotes NOR newlines.,,,,,,,,,
# -2,The year cells must be JSON numbers.  The winners_rank cells must be a JSON number or JSON null.  The winners_show cells must be JSON booleans.,,,,,,,,,
# -3,Empty cells are filled in with red and need to be filled in and are TBD.,,,,,,,,,
# -4,Any cell containing null is a JSON null value. Any cell containing true or false is a JSON boolean value.,,,,,,,,,
# year,dir,winners_rank,path,created_by,prog,filetype,ext,winners_show,display_via,winners_text
1984,anonymous,null,.winner.json,jwinner,null,json,json,false,null,null
1984,anonymous,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,anonymous,300,1984_anonymous.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,decot,null,.winner.json,jwinner,null,json,json,false,null,null
1984,decot,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,decot,300,1984_decot.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,laman,null,.winner.json,jwinner,null,json,json,false,null,null
1984,laman,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,laman,300,1984_laman.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,mullender,null,.winner.json,jwinner,null,json,json,false,null,null
1984,mullender,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,mullender,300,1984_mullender.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,applin,null,.winner.json,jwinner,null,json,json,false,null,null
1985,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,applin,300,1985_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,august,null,.winner.json,jwinner,null,json,json,false,null,null
1985,august,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,august,300,1985_august.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,lycklama,null,.winner.json,jwinner,null,json,json,false,null,null
1985,lycklama,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,lycklama,300,1985_lycklama.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,shapiro,null,.winner.json,jwinner,null,json,json,false,null,null
1985,shapiro,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,shapiro,300,1985_shapiro.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,sicherman,null,.winner.json,jwinner,null,json,json,false,null,null
1985,sicherman,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,sicherman,300,1985_sicherman.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,applin,null,.winner.json,jwinner,null,json,json,false,null,null
1986,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,applin,300,1986_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,august,null,.winner.json,jwinner,null,json,json,false,null,null
1986,august,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,august,300,1986_august.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,bright,null,.winner.json,jwinner,null,json,json,false,null,null
1986,bright,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,bright,300,1986_bright.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,hague,null,.winner.json,jwinner,null,json,json,false,null,null
1986,hague,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,hague,300,1986_hague.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,holloway,null,.winner.json,jwinner,null,json,json,false,null,null
1986,holloway,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,holloway,300,1986_holloway.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,marshall,null,.winner.json,jwinner,null,json,json,false,null,null
1986,marshall,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,marshall,300,1986_marshall.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,pawka,null,.winner.json,jwinner,null,json,json,false,null,null
1986,pawka,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,pawka,300,1986_pawka.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,stein,null,.winner.json,jwinner,null,json,json,false,null,null
1986,stein,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,stein,300,1986_stein.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,wall,null,.winner.json,jwinner,null,json,json,false,null,null
1986,wall,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,wall,300,1986_wall.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,biggar,null,.winner.json,jwinner,null,json,json,false,null,null
1987,biggar,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,biggar,300,1987_biggar.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,heckbert,null,.winner.json,jwinner,null,json,json,false,null,null
1987,heckbert,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,heckbert,300,1987_heckbert.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,hines,null,.winner.json,jwinner,null,json,json,false,null,null
1987,hines,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,hines,300,1987_hines.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,korn,null,.winner.json,jwinner,null,json,json,false,null,null
1987,korn,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,korn,300,1987_korn.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,lievaart,null,.winner.json,jwinner,null,json,json,false,null,null
1987,lievaart,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,lievaart,300,1987_lievaart.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,wall,null,.winner.json,jwinner,null,json,json,false,null,null
1987,wall,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,wall,300,1987_wall.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1987,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1987,westley,300,1987_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,applin,null,.winner.json,jwinner,null,json,json,false,null,null
1988,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,applin,300,1988_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,dale,null,.winner.json,jwinner,null,json,json,false,null,null
1988,dale,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,dale,300,1988_dale.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,isaak,null,.winner.json,jwinner,null,json,json,false,null,null
1988,isaak,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,isaak,300,1988_isaak.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,litmaath,null,.winner.json,jwinner,null,json,json,false,null,null
1988,litmaath,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,litmaath,300,1988_litmaath.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,phillipps,null,.winner.json,jwinner,null,json,json,false,null,null
1988,phillipps,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,phillipps,300,1988_phillipps.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,reddy,null,.winner.json,jwinner,null,json,json,false,null,null
1988,reddy,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,reddy,300,1988_reddy.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,robison,null,.winner.json,jwinner,null,json,json,false,null,null
1988,robison,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,robison,300,1988_robison.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,spinellis,null,.winner.json,jwinner,null,json,json,false,null,null
1988,spinellis,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,spinellis,300,1988_spinellis.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1988,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,westley,300,1988_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,fubar,null,.winner.json,jwinner,null,json,json,false,null,null
1989,fubar,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,fubar,300,1989_fubar.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,jar.1,null,.winner.json,jwinner,null,json,json,false,null,null
1989,jar.1,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,jar.1,300,1989_jar.1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,jar.2,null,.winner.json,jwinner,null,json,json,false,null,null
1989,jar.2,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,jar.2,300,1989_jar.2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,ovdluhe,null,.winner.json,jwinner,null,json,json,false,null,null
1989,ovdluhe,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,ovdluhe,300,1989_ovdluhe.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,paul,null,.winner.json,jwinner,null,json,json,false,null,null
1989,paul,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,paul,300,1989_paul.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,robison,null,.winner.json,jwinner,null,json,json,false,null,null
1989,robison,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,robison,300,1989_robison.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,roemer,null,.winner.json,jwinner,null,json,json,false,null,null
1989,roemer,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,roemer,300,1989_roemer.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,tromp,null,.winner.json,jwinner,null,json,json,false,null,null
1989,tromp,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,tromp,300,1989_tromp.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,vanb,null,.winner.json,jwinner,null,json,json,false,null,null
1989,vanb,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,vanb,300,1989_vanb.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1989,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,westley,300,1989_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,baruch,null,.winner.json,jwinner,null,json,json,false,null,null
1990,baruch,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,baruch,300,1990_baruch.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,cmills,null,.winner.json,jwinner,null,json,json,false,null,null
1990,cmills,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,cmills,300,1990_cmills.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,dds,null,.winner.json,jwinner,null,json,json,false,null,null
1990,dds,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,dds,300,1990_dds.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,dg,null,.winner.json,jwinner,null,json,json,false,null,null
1990,dg,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,dg,300,1990_dg.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,jaw,null,.winner.json,jwinner,null,json,json,false,null,null
1990,jaw,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,jaw,300,1990_jaw.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,pjr,null,.winner.json,jwinner,null,json,json,false,null,null
1990,pjr,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,pjr,300,1990_pjr.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,scjones,null,.winner.json,jwinner,null,json,json,false,null,null
1990,scjones,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,scjones,300,1990_scjones.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,stig,null,.winner.json,jwinner,null,json,json,false,null,null
1990,stig,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,stig,300,1990_stig.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,tbr,null,.winner.json,jwinner,null,json,json,false,null,null
1990,tbr,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,tbr,300,1990_tbr.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,theorem,null,.winner.json,jwinner,null,json,json,false,null,null
1990,theorem,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,theorem,300,1990_theorem.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1990,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,westley,300,1990_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,ant,null,.winner.json,jwinner,null,json,json,false,null,null
1991,ant,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,ant,300,1991_ant.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,brnstnd,null,.winner.json,jwinner,null,json,json,false,null,null
1991,brnstnd,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,brnstnd,100,sorta.README.html,md2html,null,html,html,true,browser,SORTA language infomation
1991,brnstnd,300,1991_brnstnd.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,buzzard,null,.winner.json,jwinner,null,json,json,false,null,null
1991,buzzard,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,buzzard,300,1991_buzzard.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,cdupont,null,.winner.json,jwinner,null,json,json,false,null,null
1991,cdupont,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,cdupont,300,1991_cdupont.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,davidguy,null,.winner.json,jwinner,null,json,json,false,null,null
1991,davidguy,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,davidguy,300,1991_davidguy.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,dds,null,.winner.json,jwinner,null,json,json,false,null,null
1991,dds,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,dds,300,1991_dds.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,fine,null,.winner.json,jwinner,null,json,json,false,null,null
1991,fine,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,fine,300,1991_fine.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,rince,null,.winner.json,jwinner,null,json,json,false,null,null
1991,rince,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,rince,300,1991_rince.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1991,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1991,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1991,westley,300,1991_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,adrian,null,.winner.json,jwinner,null,json,json,false,null,null
1992,adrian,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,adrian,300,1992_adrian.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,albert,null,.winner.json,jwinner,null,json,json,false,null,null
1992,albert,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,albert,300,1992_albert.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,ant,null,.winner.json,jwinner,null,json,json,false,null,null
1992,ant,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,ant,300,1992_ant.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,buzzard.1,null,.winner.json,jwinner,null,json,json,false,null,null
1992,buzzard.1,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,buzzard.1,300,1992_buzzard.1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,buzzard.2,null,.winner.json,jwinner,null,json,json,false,null,null
1992,buzzard.2,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,buzzard.2,100,buzzard.2.README.html,md2html,null,html,html,true,browser,author description of files
1992,buzzard.2,300,1992_buzzard.2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,gson,null,.winner.json,jwinner,null,json,json,false,null,null
1992,gson,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,gson,300,1992_gson.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,imc,null,.winner.json,jwinner,null,json,json,false,null,null
1992,imc,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,imc,300,1992_imc.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,kivinen,null,.winner.json,jwinner,null,json,json,false,null,null
1992,kivinen,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,kivinen,300,1992_kivinen.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,lush,null,.winner.json,jwinner,null,json,json,false,null,null
1992,lush,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,lush,300,1992_lush.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,marangon,null,.winner.json,jwinner,null,json,json,false,null,null
1992,marangon,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,marangon,300,1992_marangon.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,nathan,null,.winner.json,jwinner,null,json,json,false,null,null
1992,nathan,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,nathan,300,1992_nathan.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,vern,null,.winner.json,jwinner,null,json,json,false,null,null
1992,vern,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,vern,300,1992_vern.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1992,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1992,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1992,westley,300,1992_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,ant,null,.winner.json,jwinner,null,json,json,false,null,null
1993,ant,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,ant,300,1993_ant.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,cmills,null,.winner.json,jwinner,null,json,json,false,null,null
1993,cmills,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,cmills,300,1993_cmills.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,dgibson,null,.winner.json,jwinner,null,json,json,false,null,null
1993,dgibson,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,dgibson,300,1993_dgibson.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,ejb,null,.winner.json,jwinner,null,json,json,false,null,null
1993,ejb,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,ejb,100,hanoi.html,md2html,null,html,html,true,browser,about the Towers of Hanoi puzzle
1993,ejb,100,patience.html,md2html,null,html,html,true,browser,about the Patience puzzle
1993,ejb,300,1993_ejb.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,jonth,null,.winner.json,jwinner,null,json,json,false,null,null
1993,jonth,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,jonth,300,1993_jonth.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,leo,null,.winner.json,jwinner,null,json,json,false,null,null
1993,leo,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,leo,300,1993_leo.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,lmfjyh,null,.winner.json,jwinner,null,json,json,false,null,null
1993,lmfjyh,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,lmfjyh,300,1993_lmfjyh.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,plummer,null,.winner.json,jwinner,null,json,json,false,null,null
1993,plummer,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,plummer,300,1993_plummer.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,rince,null,.winner.json,jwinner,null,json,json,false,null,null
1993,rince,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,rince,100,design.html,md2html,null,html,html,true,browser,implementation notes
1993,rince,300,1993_rince.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,schnitzi,null,.winner.json,jwinner,null,json,json,false,null,null
1993,schnitzi,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,schnitzi,300,1993_schnitzi.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1993,vanb,null,.winner.json,jwinner,null,json,json,false,null,null
1993,vanb,10,index.html,readme2index,null,html,html,true,browser,click here first
1993,vanb,300,1993_vanb.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,dodsond1,null,.winner.json,jwinner,null,json,json,false,null,null
1994,dodsond1,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,dodsond1,300,1994_dodsond1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,dodsond2,null,.winner.json,jwinner,null,json,json,false,null,null
1994,dodsond2,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,dodsond2,300,1994_dodsond2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,horton,null,.winner.json,jwinner,null,json,json,false,null,null
1994,horton,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,horton,300,1994_horton.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,imc,null,.winner.json,jwinner,null,json,json,false,null,null
1994,imc,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,imc,300,1994_imc.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,ldb,null,.winner.json,jwinner,null,json,json,false,null,null
1994,ldb,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,ldb,300,1994_ldb.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,schnitzi,null,.winner.json,jwinner,null,json,json,false,null,null
1994,schnitzi,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,schnitzi,300,1994_schnitzi.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,shapiro,null,.winner.json,jwinner,null,json,json,false,null,null
1994,shapiro,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,shapiro,100,shapiro.html,md2html,null,html,html,true,browser,author hints
1994,shapiro,300,1994_shapiro.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,smr,null,.winner.json,jwinner,null,json,json,false,null,null
1994,smr,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,smr,300,1994_smr.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,tvr,null,.winner.json,jwinner,null,json,json,false,null,null
1994,tvr,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,tvr,300,1994_tvr.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,weisberg,null,.winner.json,jwinner,null,json,json,false,null,null
1994,weisberg,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,weisberg,300,1994_weisberg.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1994,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,westley,300,1994_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,cdua,null,.winner.json,jwinner,null,json,json,false,null,null
1995,cdua,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,cdua,300,1995_cdua.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,dodsond1,null,.winner.json,jwinner,null,json,json,false,null,null
1995,dodsond1,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,dodsond1,300,1995_dodsond1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,dodsond2,null,.winner.json,jwinner,null,json,json,false,null,null
1995,dodsond2,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,dodsond2,300,1995_dodsond2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,esde,null,.winner.json,jwinner,null,json,json,false,null,null
1995,esde,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,esde,300,1995_esde.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,garry,null,.winner.json,jwinner,null,json,json,false,null,null
1995,garry,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,garry,300,1995_garry.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,heathbar,null,.winner.json,jwinner,null,json,json,false,null,null
1995,heathbar,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,heathbar,300,1995_heathbar.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,leo,null,.winner.json,jwinner,null,json,json,false,null,null
1995,leo,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,leo,300,1995_leo.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,makarios,null,.winner.json,jwinner,null,json,json,false,null,null
1995,makarios,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,makarios,300,1995_makarios.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
