# year_handle,award name
1984_anonymous,Dishonorable Mention
1984_decot,Second Place
1984_laman,Third Place
1984_mullender,Grand Prize
1985_applin,Best one liner
1985_august,Most obscure program
1985_lycklama,Strangest appearing program
1985_shapiro,Grand Prize - Most well rounded in confusion
1985_sicherman,Worst abuse of the C preprocessor
1986_applin,Most adaptable program
1986_august,Best complex task done in a complex way
1986_bright,Most useful obfuscation
1986_hague,Worst abuse of the C preprocessor
1986_holloway,Best simple task performed in a complex way
1986_marshall,Best layout
1986_pawka,Most illegible code
1986_stein,Best one liner
1986_wall,Grand Prize - Most well rounded in confusion
1987_biggar,Best abuse of the rules
1987_heckbert,Best obfuscator of programs
1987_hines,Worst style
1987_korn,Best one liner
1987_lievaart,Grand Prize
1987_wall,Most useful obfuscation
1987_westley,Best layout
1988_applin,Best of Show
1988_dale,Best abuse of system calls
1988_isaak,Best visuals
1988_litmaath,Best small program
1988_phillipps,Least likely to compile successfully
1988_reddy,Most useful obfuscated C program
1988_robison,Best abuse of C constructs
1988_spinellis,Best abuse of the rules
1988_westley,Best layout
1989_fubar,Best self-modifying program
1989_jar.1,Strangest abuse of the rules
1989_jar.2,Best of Show
1989_ovdluhe,Most humorous output
1989_paul,Most complex algorithm
1989_robison,Best minimal use of C
1989_roemer,Best layout
1989_tromp,Best game
1989_vanb,Best one liner
1989_westley,Most algorithms in one program
1990_baruch,Best small program
1990_cmills,Best game
1990_dds,Best language tool
1990_dg,Best abuse of the C preprocessor
1990_jaw,Best entropy-reducer
1990_pjr,Most unusual data structure
1990_scjones,ANSI Committee's worst abuse of C
1990_stig,Strangest abuse of the rules
1990_tbr,Best utility
1990_theorem,Best of Show
1990_westley,Best layout
1991_ant,Best utility
1991_brnstnd,Best of Show
1991_buzzard,Best output
1991_cdupont,Most useful label
1991_davidguy,Best X11 graphics
1991_dds,Most well rounded
1991_fine,Best one liner
1991_rince,Best game
1991_westley,Grand Prize
1992_adrian,Most educational
1992_albert,Most useful program
1992_ant,Best utility
1992_buzzard.1,Most obfuscated algorithm
1992_buzzard.2,Best language tool
1992_gson,Most humorous output
1992_imc,Best output
1992_kivinen,Best X program
1992_lush,Worst abuse of the C preprocessor
1992_marangon,Best game
1992_nathan,Worst abuse of the rules
1992_vern,Best of Show
1992_westley,Best small program
1993_ant,Best utility
1993_cmills,Bill Gates Award
1993_dgibson,Best abuse of the C preprocessor
1993_ejb,Best obfuscated algorithm
1993_jonth,Most obfuscated X program
1993_leo,Best game
1993_lmfjyh,Most versatile source
1993_plummer,Best one liner
1993_rince,Most well rounded
1993_schnitzi,Obfuscated Intelligence Award
1993_vanb,Most irregular expression
1994_dodsond1,Best game
1994_dodsond2,Most obfuscated packaging
1994_horton,Best utility
1994_imc,Most obfuscated algorithm
1994_ldb,Best one liner
1994_schnitzi,Best layout
1994_shapiro,Most well rounded obfuscation
1994_smr,Worst abuse of the rules
1994_tvr,Best X11 program
1994_weisberg,Best short program
1994_westley,Worst abuse of the C preprocessor
1995_cdua,Best output
1995_dodsond1,Most humorous
1995_dodsond2,Best game
1995_esde,Interesting algorithm
1995_garry,Best utility
1995_heathbar,Best layout
1995_leo,Best use of obfuscation
1995_makarios,Best short program
1995_savastio,Most obfuscated syntax
1995_schnitzi,Best one liner
1995_spinellis,Abusing the rules
1995_vanschnitz,Worst abuse of the C preprocessor and most likely to amaze
1996_august,Best of Show
1996_dalbec,Best numerical obfuscation
1996_eldby,Best output
1996_gandalf,Best layout
1996_huffman,Best obfuscated character set utility
1996_jonth,Best X11 entry
1996_rcm,Best RFC obfuscation
1996_schweikh1,Worst abuse of the C preprocessor
1996_schweikh2,Best algorithm
1996_schweikh3,Best utility
1996_westley,Best one liner
1998_banks,Best of Show
1998_bas1,Best encapsulation
1998_bas2,Best small program
1998_chaos,Best object orientation
1998_df,Best data hiding
1998_dlowe,Best utility
1998_dloweneil,Most fun
1998_dorssel,Obsolescent feature
1998_fanf,Most obfuscated translator
1998_schnitzi,Best flow control
1998_schweikh1,CPP abuse
1998_schweikh2,Most erratic behavior
1998_schweikh3,Most space efficient
1998_tomtorfs,Best self-documenting
2000_anderson,Best use of flags
2000_bellard,Most specific output
2000_bmeyer,Best utility
2000_briddlebane,Best abuse of user
2000_dhyang,Best layout
2000_dlowe,Worst abuse of the rules
2000_jarijyrki,Best of Show
2000_natori,Best small program
2000_primenum,Best abuse of CPP
2000_rince,Astronomically obfuscated
2000_robison,Best game
2000_schneiderwent,Most timely output
2000_thadgavin,Most portable output
2000_tomx,Most complete program
2001_anonymous,Dishonorable mention
2001_bellard,Best abuse of the rules
2001_cheong,Best short program
2001_coupard,Most obfuscated sound
2001_ctk,Worst driver
2001_dgbeards,Best AI
2001_herrmann1,Best abuse of the C preprocessor
2001_herrmann2,Most eye-crossing
2001_jason,Best of Show
2001_kev,Best curses game
2001_ollinger,Best of Show
2001_rosten,Best abuse of the user
2001_schweikh,Best one liner
2001_westley,Best position-independent code
2001_williams,Best graphic game
2004_anonymous,Best use of 'Precious' Lines
2004_arachnid,Best use of vision
2004_burley,Best calculated risk
2004_gavare,Best use of light and spheres
2004_gavin,Best of Show
2004_hibachi,Best abuse of the guidelines
2004_hoyle,Most functional output
2004_jdalbec,Best abuse of the periodic table
2004_kopczynski,Best one liner
2004_newbern,Best font engine
2004_omoikane,Best utility
2004_schnitzi,Best non-use of curses
2004_sds,Best abuse of indentation
2004_vik1,Best X11 game
2004_vik2,Best abuse of CPP
2005_aidan,Most ingenious puzzle solution
2005_anon,Best 3D puzzle
2005_boutines,Most superfluous output
2005_chia,Most ambiguous language
2005_giljade,Best 2D puzzle
2005_jetro,Most sonorous output
2005_klausler,Abuse of the rules
2005_mikeash,Best use of parenthesis
2005_mynx,Best use of the WWW
2005_persano,Best of Show
2005_sykes,Best emulator
2005_timwi,Most discourteous interpreter
2005_toledo,Best game
2005_vik,Most circuitous walk
2005_vince,Most beauteous visuals
2006_birken,EDAMAME Award
2006_borsanyi,Most useful
2006_grothe,Most obfuscated audio
2006_hamre,Most irrational
2006_meyer,Best game
2006_monge,Best compiled graphics
2006_night,Best abuse of computation
2006_sloane,Homer's favorite
2006_stewart,Best computed graphics
2006_sykes1,Best assembler
2006_sykes2,Best one liner
2006_toledo1,Best small program
2006_toledo2,Best of Show
2006_toledo3,Most portable chess set
2011_akari,Best of Show - Most Shrinkable
2011_blakely,Most devolving
2011_borsanyi,Best data utility
2011_dlowe,Most self deprecating
2011_eastman,Best ball
2011_fredriksson,Most useful
2011_goren,Most artistic
2011_hamaji,Best solved puzzle
2011_hou,Best self documenting program
2011_konno,Best one liner
2011_richards,Most surprisingly portable
2011_toledo,Best non-chess game
2011_vik,Most sound
2011_zucker,Most shiny
2012_blakely,Most GIFted expressions
2012_deckmyn,Most notable and best tool
2012_dlowe,Best way to lose a life
2012_endoh1,Most complex ASCII fluid - Honorable mention
2012_endoh2,PiE in the sky award
2012_grothe,Most conspiratorial
2012_hamano,Silver Award - Most elementary use of C
2012_hou,Most useful obfuscation
2012_kang,Best short program
2012_konno,Best one liner
2012_omoikane,Most surreptitious
2012_tromp,Most functional
2012_vik,Bronze Award - Best use of cocoa
2012_zeitak,Gold Award - Balanced use of obfuscation
2013_birken,Best painting tool
2013_cable1,Most partisan one liner
2013_cable2,Best of Show
2013_cable3,Largest small system emulator
2013_dlowe,Best sparkling utility
2013_endoh1,Most lazy SKIer
2013_endoh2,Most recyclable
2013_endoh3,Most tweetable one liner
2013_endoh4,Most solid
2013_hou,Best use of one infinite loop
2013_mills,Most timely rendered
2013_misaka,Most catty
2013_morgan1,Smallest large system simulator
2013_morgan2,Most playfully versatile
2013_robison,Most poetic use of strings
2014_birken,Best use of port 1701
2014_deak,Most underscored argument
2014_endoh1,Most square (YODA Award)
2014_endoh2,Best use of bioinformatics
2014_maffiodo1,Homage to a classic game
2014_maffiodo2,Most tweetable entry
2014_morgan,Most likely to succeed
2014_sinon,Best choice of optimization
2014_skeggs,Most dynamic
2014_vik,Best handling of beeps
2014_wiedijk,Most functional
2015_burton,Most useful
2015_dogon,Most crafty
2015_duble,Best handwriting
2015_endoh1,Most diffused reaction
2015_endoh2,Most overlooked obfuscation
2015_endoh3,Back to the Future Award
2015_endoh4,Best one liner
2015_hou,Most well rounded hash
2015_howe,Most different
2015_mills1,For the Birds! Award
2015_mills2,Most compact
2015_muth,Most complete use of CPP
2015_schweikhardt,Best documented
2015_yang,Most pointed reaction
2018_algmyr,Most cacophonic
2018_anderson,Most able to divine code gaps
2018_bellard,Most inflationary
2018_burton1,Best one liner
2018_burton2,Best abuse of the rules
2018_ciura,Most likely to be awarded
2018_endoh1,Best tool to reveal holes
2018_endoh2,Best use of python
2018_ferguson,Best use of weasel words
2018_giles,Most unstable
2018_hou,Most likely to top the charts
2018_mills,Best of Show
2018_poikola,Most stellar
2018_vokes,Most connected
2018_yang,Most shifty
2019_adamovsky,Most functional interpreter
2019_burton,Best one liner
2019_ciura,Most alphabetic
2019_diels-grabsch1,Best small program
2019_diels-grabsch2,Most self-aware
2019_dogon,Best use of space and time
2019_duble,Best collaborative graphics
2019_endoh,Most in need of debugging
2019_giles,Most in need of wide space
2019_karns,Most in need of whitespace
2019_lynn,Most functional compiler
2019_mills,Most in need to be tweeted
2019_poikola,Most calendrical
2019_yang,Most in need of transparency
2020_burton,Best one liner
2020_carlini,Best of Show - abuse of libc
2020_endoh1,Most explosive
2020_endoh2,Best perspective
2020_endoh3,Most head-turning
2020_ferguson1,Don't tread on me award
2020_ferguson2,Most enigmatic
2020_giles,Most phony
2020_kurdyukov1,Best utility
2020_kurdyukov2,Least detailed
2020_kurdyukov3,Bset slaml prragom
2020_kurdyukov4,Best abuse of lámatyávë
2020_otterness,Most percussive
2020_tsoj,Most misleading indentation
2020_yang,Best abuse of CPP
